"stimulus","condition","response_correct","response_time"
"WGGWx","volume_11","correct",2.72590835655011
"j","volume_92","incorrect",2.88800738282025
"fhxC","volume_50","incorrect",2.95811177425343
"6vn","volume_42","incorrect",3.16866717491485
"NTTtA","volume_47","correct",2.91386757006349
"DA","volume_84","incorrect",3.13521030436564
"tILH9","volume_46","incorrect",2.95639129954888
"Mb3a","volume_30","incorrect",2.85880564157017
"UBjB","volume_86","incorrect",2.9294881450092
"kucq","volume_15","incorrect",2.8882542478714
"w","volume_65","incorrect",3.01441055663884
"pE","volume_7","correct",3.14765732263746
"DPT","volume_88","incorrect",2.83602019397856
"UcQ7F","volume_95","incorrect",3.20193714614041
"XLZol","volume_1","correct",2.83645588693428
"QeW0n","volume_59","incorrect",2.72110837849427
"Au","volume_67","correct",3.1426589017637
"x","volume_7","correct",3.11762943236546
"y6R1","volume_24","incorrect",2.83757184914389
"0L72l","volume_96","incorrect",2.91754547282782
"j","volume_45","incorrect",3.11198940239327
"Jwa","volume_66","incorrect",2.67735261954335
"QM","volume_100","incorrect",2.87591932559725
"Z6ih","volume_72","incorrect",2.72277122932005
"eO","volume_69","incorrect",2.91953663841398
"r","volume_30","incorrect",2.96030983813504
"F36R","volume_57","incorrect",3.11333359659349
"uOgiO","volume_70","incorrect",3.11623725652138
"KquO","volume_31","incorrect",3.14659749969767
"upl","volume_13","correct",2.9237922469142
"yGkPa","volume_59","incorrect",3.19951572598679
"WL","volume_93","incorrect",2.68963006025498
"2","volume_32","correct",2.8895466443113
"FnY","volume_37","correct",2.82357584139441
"Dk","volume_40","incorrect",3.29011544185281
"rTV","volume_66","correct",3.03191737574274
"I","volume_42","incorrect",3.00113371640054
"ELE","volume_20","incorrect",2.91061737438829
"CNaEo","volume_28","incorrect",3.17538999806409
"eXOuP","volume_92","incorrect",2.87716071483783
"z3Z","volume_91","incorrect",3.17753410885975
"v","volume_25","correct",3.13689456535881
"m","volume_16","correct",2.61848709225744
"6","volume_18","correct",3.46924463404351
"2","volume_74","incorrect",2.99051251481833
"BOhM7","volume_22","incorrect",3.05216792176792
"ua45","volume_36","incorrect",3.3630724796174
"8HreI","volume_83","correct",3.18552064431967
"XlZ","volume_36","incorrect",2.84181241146168
"e","volume_76","incorrect",2.87550948449792
"Acz","volume_44","correct",3.13914814232738
"fKf","volume_51","correct",2.88055240210598
"v","volume_74","incorrect",3.00735282933596
"4e","volume_10","correct",2.91984612772186
"56e7s","volume_52","correct",2.90453456446329
"bP","volume_48","correct",3.16138173405018
"iJ4","volume_96","correct",2.82456878174297
"LCGaR","volume_59","incorrect",3.05416982570307
"l41JO","volume_18","correct",2.91474052559619
"Fp","volume_63","correct",3.03158779235814
"Nu","volume_63","correct",3.04358224809981
"K4i0","volume_3","incorrect",2.90878195019726
"Qlx5","volume_74","incorrect",3.15563686944499
"WPzP","volume_51","incorrect",2.97379973044897
"wPs","volume_26","correct",2.60914376060485
"kzPq","volume_98","correct",3.47887869763579
"z","volume_81","correct",2.87273209918401
"XD","volume_85","incorrect",2.84586172672754
"8h","volume_73","incorrect",2.41203344790708
"T","volume_56","correct",2.91913350863485
"k4ybu","volume_21","correct",2.88802560005038
"3q","volume_14","correct",3.02821554269969
"M","volume_11","incorrect",2.81074290893156
"7xA","volume_79","incorrect",3.0225168008836
"EOgcH","volume_90","incorrect",3.68168417012037
"N7Ye","volume_92","incorrect",3.2866298515504
"cBl5","volume_39","correct",3.14149579297165
"KMeP","volume_5","correct",2.71144194870676
"nSB","volume_78","incorrect",3.02469814034136
"LBZ2","volume_91","correct",2.88722829968238
"DtuyO","volume_43","correct",3.22099072091309
"sY8","volume_71","correct",2.90125358060335
"BM","volume_68","correct",3.19326907437991
"muP","volume_60","incorrect",3.06601469598273
"KsTUg","volume_20","incorrect",2.83169277417648
"FeK8","volume_82","incorrect",2.942435836432
"IFW2","volume_34","correct",2.61468117700771
"iw","volume_84","correct",3.52620953476617
"XO","volume_67","correct",3.23992597538327
"IqS","volume_4","correct",2.85971317369091
"PZMW","volume_26","incorrect",3.08588891208968
"m","volume_67","correct",3.1877475242074
"nqC7","volume_24","correct",3.07139714670418
"N","volume_9","correct",2.95488821899773
"Ry3z1","volume_8","incorrect",3.00407152870931
"F","volume_20","correct",3.00143149617976
"yYRcw","volume_100","correct",3.01606996121614
"Y2F3","volume_71","correct",3.32292110152554
"BwAZB","volume_49","correct",3.01988290944837
"g4q","volume_13","correct",2.94429644102279
"HlJ8R","volume_99","incorrect",2.67253145831586
"6w7HV","volume_93","incorrect",2.76550695014649
"AOdEX","volume_19","incorrect",3.13238076359064
"V","volume_59","incorrect",2.77903577327564
"s3it","volume_58","incorrect",3.12181594478644
"Pb","volume_33","correct",3.1645713891559
"i","volume_47","correct",2.79856902798353
"0h","volume_33","incorrect",2.92387058036731
"rtB4d","volume_33","incorrect",2.8752685270117
"X3BVC","volume_3","correct",3.18730134988715
"OafYT","volume_8","correct",2.98745602782505
"Ol9v","volume_4","incorrect",3.02353787330362
"S3N3","volume_26","incorrect",3.17983723387984
"43t","volume_12","correct",2.93237997189917
"Ft","volume_43","correct",2.93170571057508
"Mx","volume_98","correct",3.02381410351914
"GBC","volume_43","incorrect",2.92304990106495
"Imxi","volume_19","correct",3.01974541864336
"F","volume_94","incorrect",2.54867846358208
"FH","volume_6","correct",3.1883121626498
"O2Ht","volume_90","incorrect",2.60847806799562
"rbpFp","volume_73","incorrect",2.97093247261452
"MbP","volume_99","correct",2.97400471800442
"XV","volume_81","incorrect",2.72566265499974
"0Fgq","volume_6","correct",2.77244410293057
"GZwi","volume_36","incorrect",2.75038379796292
"Yrjy","volume_27","incorrect",2.99653196414964
"MjlXS","volume_80","correct",2.76645199522279
"qH","volume_84","incorrect",2.91942182811558
"if7","volume_71","correct",3.26674271852631
"EjEc","volume_61","correct",3.22625080755736
"rfj","volume_31","incorrect",2.57830227381445
"ob","volume_92","incorrect",2.73370697515623
"Du","volume_49","incorrect",3.13230958314045
"a","volume_63","incorrect",2.62614851861979
"uxY","volume_85","correct",2.71895532436217
"lCyw","volume_58","incorrect",2.92456884589828
"5","volume_10","incorrect",3.1480571148571
"pl","volume_72","incorrect",2.67516963138215
"0Juv","volume_5","correct",2.90121380426235
"U","volume_25","incorrect",2.84692035938882
"c81","volume_72","incorrect",3.18103706580175
"bs1jf","volume_62","correct",2.82013761566571
"pKTU","volume_61","incorrect",3.16870817612868
"8E","volume_71","correct",2.99247539454619
"d3l","volume_3","correct",3.29110271196442
"fWC","volume_83","correct",3.05859854500476
"Ep","volume_76","incorrect",2.64697508292832
"2n","volume_5","correct",3.15976516354469
"b","volume_80","correct",2.91271972169273
"F","volume_13","correct",2.98872466961824
"Tio","volume_69","incorrect",3.15404899757884
"Cy","volume_29","correct",3.02645395911382
"wL83I","volume_16","incorrect",3.35775279552515
"FbQl","volume_9","correct",2.71961246936117
"H","volume_100","correct",2.67486964753795
"N9B9T","volume_73","correct",2.82422005598278
"vR","volume_2","correct",2.95564228758009
"mGYb8","volume_60","correct",2.8895908253277
"w","volume_83","correct",3.32985275634676
"kGCS7","volume_89","correct",2.89302064807833
"mUIw6","volume_29","correct",2.91331266428273
"Z","volume_1","correct",2.7954541123084
"Kb","volume_94","correct",3.30126798177266
"y","volume_64","incorrect",2.98793140668327
"CZ6","volume_88","incorrect",2.92670814889011
"CWK","volume_66","correct",3.21838139058786
"cKcE","volume_89","correct",3.07559481523732
"a1nSW","volume_79","incorrect",3.00677749666798
"p","volume_57","correct",2.75073044131587
"z3dd","volume_41","correct",2.78650465821223
"P","volume_23","correct",2.85630909630806
"w","volume_23","correct",3.32832364299662
"qMZB","volume_7","correct",3.42029439801766
"u","volume_12","incorrect",2.60690415445483
"42","volume_73","incorrect",2.69463936617351
"80QC","volume_14","correct",3.38474259951543
"Bb3","volume_23","incorrect",2.99208513176784
"aKx","volume_88","incorrect",2.7900491750419
"T6x","volume_55","correct",2.95565282524464
"tyS","volume_53","correct",2.94146487836864
"pWerl","volume_34","incorrect",2.99365457224218
"AC","volume_70","correct",2.70226713595366
"ADgM","volume_27","incorrect",3.04454158897581
"76","volume_63","incorrect",3.20514674292603
"m","volume_47","incorrect",3.185956525636
"o","volume_26","correct",3.03480271225103
"z9aoF","volume_74","incorrect",2.69240923870773
"ir","volume_22","incorrect",3.12579294215812
"MZTh","volume_96","incorrect",2.87371426344919
"qx","volume_37","correct",2.99822428484144
"2jb3r","volume_64","incorrect",2.80857240168748
"55","volume_26","incorrect",3.08189041157359
"W7X","volume_80","correct",3.00273719773513
"Yoa","volume_45","correct",3.09311171339372
"9DQ","volume_93","correct",3.17543991429456
"J0V1m","volume_17","correct",3.02232682828412
"y","volume_95","incorrect",3.0028416879572
"iX","volume_62","correct",3.24721770076019
"FJ","volume_100","incorrect",3.03564663241209
"Fj","volume_40","correct",3.00146393398416
"tw","volume_81","correct",3.24106958367256
"i0","volume_100","correct",3.31112317674495
"1Q2r","volume_58","incorrect",3.08219438668519
"FY","volume_11","correct",3.18958643262826
"UXhu","volume_99","correct",3.08727392698544
"YiHIo","volume_64","correct",3.11132516666475
"qe81","volume_15","incorrect",3.12676268782583
"qTC","volume_80","incorrect",2.83008423624453
"UvsD","volume_19","correct",2.94767282385186
"x","volume_43","correct",3.04127135966741
"h9ZPb","volume_33","incorrect",3.12823786263727
"hO","volume_15","incorrect",3.41826321406931
"2Qwp","volume_76","incorrect",3.36443951404907
"T","volume_12","incorrect",2.98112000597722
"niNeD","volume_18","correct",3.14064087716672
"cds","volume_69","correct",2.62374788153956
"Qq","volume_60","incorrect",3.08160955388746
"g","volume_41","correct",3.26342320535278
"ImOm","volume_41","incorrect",3.0927394828657
"ImjYC","volume_87","incorrect",2.96505580886965
"n","volume_37","incorrect",3.18936736206727
"dKw9u","volume_46","incorrect",3.11160788483522
"2a","volume_94","correct",3.01470024879862
"2G","volume_72","incorrect",2.8320914612621
"q","volume_98","correct",2.96083943965626
"GhD","volume_75","incorrect",2.84249265985904
"lh0sp","volume_67","correct",2.80366359601141
"IzQXh","volume_9","incorrect",3.16106592758432
"qrN","volume_71","incorrect",3.2471349867849
"3Gzw","volume_23","correct",3.55203117791191
"RsLU","volume_65","correct",2.68459106386077
"WSUa","volume_44","incorrect",3.2366941637168
"Qb8gy","volume_13","incorrect",2.83378685568156
"j8EA","volume_37","incorrect",2.68884029501723
"KUta","volume_48","correct",3.18412280406057
"6lf","volume_97","incorrect",2.54921273934977
"j","volume_68","correct",3.12965223111512
"7UkR","volume_85","incorrect",3.18744131935433
"G","volume_42","correct",3.39257660442849
"uFyy4","volume_82","incorrect",3.0039919179421
"okI8J","volume_56","incorrect",2.79188199694594
"e","volume_32","correct",3.03966524495582
"g2C","volume_99","incorrect",3.03049861851382
"n","volume_55","correct",2.9465922606112
"r0","volume_78","correct",2.89413272645079
"R","volume_34","incorrect",3.15076248353754
"Sg","volume_65","correct",2.78461285199323
"4oT","volume_50","incorrect",2.81428167292709
"pyt","volume_82","correct",2.88446532545094
"y8c","volume_38","correct",3.23004012809262
"xDFyN","volume_25","incorrect",3.02639372881328
"G","volume_91","correct",3.05726204400719
"iviu","volume_72","correct",2.87587658403044
"YjF","volume_77","incorrect",2.68748595777205
"JA","volume_4","incorrect",3.05860344506477
"kEvyC","volume_68","incorrect",2.95029643896137
"8","volume_28","correct",2.73739840166917
"CrGT","volume_90","incorrect",2.92306833665764
"gRKO","volume_62","incorrect",2.83457057801113
"WHP","volume_87","correct",2.79585479940915
"Rw0","volume_89","correct",2.61831160859046
"lr","volume_38","incorrect",3.27047008447272
"TsgU3","volume_75","correct",3.08296515059087
"qPE","volume_42","correct",2.85384810152502
"DJn","volume_39","correct",3.09547607092457
"6PCoN","volume_93","incorrect",2.831672287749
"Hw","volume_82","correct",3.16520487697537
"nj","volume_2","correct",3.18232009740754
"6Mvm","volume_95","incorrect",3.34044965752993
"LThI","volume_46","correct",2.98801561278681
"i","volume_45","incorrect",3.15722048057507
"0rud","volume_7","incorrect",3.15315264028694
"hYR","volume_1","incorrect",3.11068864561174
"8z3","volume_17","correct",2.98236564484889
"ijKdB","volume_64","incorrect",3.21730552063236
"uwsV4","volume_53","correct",3.2147247151907
"FSO","volume_27","incorrect",2.74009170079786
"wu","volume_88","incorrect",3.00684062790045
"a","volume_10","correct",2.96571062498289
"0pp","volume_44","correct",2.72140300337857
"E","volume_31","incorrect",3.08924989229225
"tjR","volume_40","incorrect",2.91895066686607
"U","volume_32","incorrect",2.80839311413464
"z9","volume_64","correct",3.35096787705004
"pjo","volume_24","incorrect",3.29371497755979
"ivM4y","volume_65","correct",3.00558762085966
"j","volume_21","incorrect",2.93403504137581
"l","volume_1","incorrect",2.71857506408089
"b9zX","volume_87","correct",3.0617606742591
"9SZ","volume_30","correct",2.76563716926381
"cM","volume_55","incorrect",3.11717608699885
"gxieI","volume_92","correct",3.3782123973189
"XyYW4","volume_93","incorrect",2.99789739219078
"7Fr","volume_57","correct",3.23040389246043
"PRs","volume_17","correct",3.01676989792566
"r","volume_4","incorrect",3.04026248237661
"7fz","volume_12","correct",2.50393494597342
"M3Ep","volume_36","correct",3.15111759961533
"7Gf","volume_21","incorrect",3.32030240099527
"K","volume_74","incorrect",3.20527053692509
"18","volume_77","correct",2.78958129571624
"C1EBy","volume_97","correct",2.95518296604919
"dIdm","volume_54","incorrect",2.82082610440457
"9","volume_73","correct",2.68074985194371
"COh","volume_52","correct",3.09273375528179
"5VS","volume_76","incorrect",3.41938560466878
"DvKc","volume_22","correct",3.06752382743767
"ve","volume_67","correct",2.87175715411546
"VXA","volume_91","incorrect",2.84522061431258
"QHea","volume_25","incorrect",2.78370805458422
"cz","volume_11","correct",3.11078878310156
"wI7Z","volume_84","incorrect",3.07126558693702
"4iGd","volume_41","correct",2.83943418541946
"zRd4k","volume_83","incorrect",3.29860745349567
"EsV","volume_34","incorrect",3.01221719763427
"7zI7p","volume_3","correct",2.93134527917374
"2L","volume_40","incorrect",3.18217778616076
"3","volume_63","correct",2.99258265199984
"IG","volume_35","correct",2.71551649070415
"9","volume_30","incorrect",2.71249925294163
"TPYaP","volume_56","incorrect",3.10128803690024
"kZW7","volume_75","incorrect",2.87951770388759
"aG8Z","volume_35","incorrect",3.23793526466308
"1","volume_38","incorrect",2.79773201820644
"a9n","volume_95","incorrect",2.92672586190117
"BF","volume_88","correct",2.85546707406406
"D5","volume_66","correct",2.60785214140666
"ecea8","volume_49","correct",2.94908671588139
"Mh5","volume_78","incorrect",3.00771988242602
"V","volume_35","correct",2.75945541152488
"B","volume_89","correct",2.88892767583243
"rLZbN","volume_39","incorrect",2.998350758466
"1Oh3","volume_36","correct",2.7899416545546
"SWD","volume_45","correct",2.63240870265577
